node;pvalue
MYC(4609);7.33635640779719e-07
KIT(3815);0.659276389340204
ETS2(2114);0.376382835446192
TGFBR3(7049);0.561420146947218
CSK(1445);0.0117117744403792
ISGF3G(10379);0.336886426838255
RELA(5970);0.500632496942416
TIAL1(7073);0.466855053966028
CCL2(6347);0.158674664703328
SELL(6402);0.618490056716946
SELE(6401);0.79055909164179
RARB(5915);0.74810574149588
TYK2(7297);0.0408687490517194
PTK7(5754);0.0795558408874306
PRKCI(5584);0.932169706815999
PRKCB1(5579);4.64181304928947e-05
GPX4(2879);0.038681656214343
PPP2R1A(5518);0.264133474917022
CTRL(1506);0.0162070999548774
MME(4311);0.00395725940907283
ABCB1(5243);0.399262190576888
NFKBIA(4792);0.882005651824513
LTBR(4055);0.359867343124735
KDR(3791);0.803200384769536
IL2RG(3561);0.0876495347310944
IFIT1(3434);0.570696449330802
IRF2(3660);0.014752646664453
ICAM3(3385);0.000815634824307567
ITGB8(3696);0.802514724389195
ITGAL(3683);0.150269413775304
IL1R1(3554);0.00551438055842791
IFNGR1(3459);0.86403208156019
IK(3550);0.00964665281697542
VEGFC(7424);0.458463027347141
NFATC3(4775);0.243341033963088
QSCN6(5768);0.363501488084456
ST13(6767);0.169509941990458
IL18R1(8809);0.219204288040506
C3AR1(719);0.305662507603477
POLD2(5425);0.000703974674105869
DUSP5(1847);0.0144837222834191
PTP4A1(7803);0.0377625035015328
CMKOR1(57007);0.0116832393485999
SNW1(22938);0.155820680526764
MLF2(8079);0.0733300345855563
NR4A3(8013);0.741181272428778
HRMT1L2(3276);0.000111691137985099
HDGF(3068);0.0150560847064399
PDGFRL(5157);0.311227262451351
PTPRN2(5799);0.840368453404195
CELSR2(1952);0.349444113174631
TLK1(9874);0.00133067782800903
PCSK7(9159);0.670874426364853
SP140(11262);0.00174932302489562
GALT(2592);0.752469389676711
GSTZ1(2954);0.229095027398644
TNFRSF25(8718);0.422531190591234
CASP3(836);0.0171392547496951
MERTK(10461);0.811657660884013
PPP1CA(5499);0.202467981464834
TRIB2(28951);0.143411755448313
TRAF6(7189);0.691988217531981
STK3(6788);0.347884883482467
MAPK10(5602);0.000714300738719393
MYCL1(4610);0.0192843745503892
BIRC3(330);0.0496525645140886
BIRC2(329);0.000437681062994318
TDG(6996);0.186568268058023
TRAF1(7185);0.0049206131566173
TP53BP2(7159);0.592310564792965
MAPK7(5598);0.43214775325044
MAP4K2(5871);0.00351061187172728
PTPRN(5798);0.582896662202418
PPP2R5A(5525);0.772027578781627
CHL1(10752);0.32637827109889
CD151(977);0.29781616189952
CCL18(6362);0.00135042106895358
ING1(3621);0.136331494746213
CDK2AP1(8099);0.593567127641636
CHEK1(1111);0.0329252704216864
PSEN2(5664);0.725636497867683
PCNA(5111);0.0547043226245526
PKIA(5569);0.587526821171215
PTPRF(5792);0.069109625508858
RUNX1(861);0.484609923980285
RPS6KB1(6198);0.117579322816799
CD59(966);0.83424122143657
RPS6KA1(6195);0.389677979035126
ACVR1(90);0.413245516790572
SET(6418);1.51605773209273e-08
STAT1(6772);0.372663127112321
SRF(6722);0.108807058227721
SYK(6850);0.212693895928246
CXCL12(6387);0.952801053640205
TAL1(6886);0.534555303871044
TUBA1(7277);0.942756720767761
TXK(7294);0.626013318958124
PRG4(10216);0.671724949406029
TFRC(7037);3.19287492688734e-05
TP53(7157);0.101064706062997
UBE2A(7319);0.11090008132139
UBE2B(7320);0.298186306198798
MYBL2(4605);0.019951045333838
SHC1(6464);0.285583406402787
VCAM1(7412);0.0627232027864952
ATF3(467);0.446100207385357
MKI67(4288);0.942002288830893
BCR(613);1.58788026677287e-06
BRCA1(672);0.0795127780372348
CD34(947);0.832447843827274
ENTPD1(953);5.7057063560715e-05
CD3G(917);0.240342281073676
CD47(961);0.00294435405574473
CD8A(925);0.761638778707674
CD9(928);7.04180108359649e-06
CKS1B(1163);0.10990161192163
CYP2E1(1571);0.0565996769954134
ARHGAP1(392);0.76425285783612
CENPE(1062);0.309787360777843
CX3CR1(1524);0.635036408777468
CSF3R(1441);0.381078046224925
CYP2C8(1558);0.140821312768938
CYP2C9(1559);0.10366793364878
DAD1(1603);0.519543358006322
XRCC4(7518);0.434410056283606
MAP2K1(5604);0.110389857806335
DAF(1604);0.266990684297524
DCK(1633);0.014949486539563
DGUOK(1716);0.757036149836693
DTYMK(1841);0.858534192652976
DPYD(1806);0.875242222884199
MMP9(4318);0.000197167172112458
MAPK3(5595);0.447462758526428
MAPK4(5596);0.0880284535608194
FN1(2335);0.000189918976381088
FPRL1(2358);0.000118073190528647
MGST1(4257);4.97766419613049e-05
GSS(2937);0.000157130372151676
NKG7(4818);0.165680064475011
CDH1(999);0.366792735773987
MNAT1(4331);0.228047399456294
ITGA1(3672);0.0833346638735509
IRF3(3661);0.00274385266732259
DDR2(4921);0.000120148603770247
HCLS1(3059);0.324891437382071
CHD1(1105);0.00435478299737807
SRP72(6731);5.03756755529014e-07
NFKB1(4790);0.0930734875312032
IL32(9235);0.684207519040957
MNDA(4332);0.908512509080229
MEN1(4221);0.217662391143445
CCL7(6354);0.00608994027968336
CDC25B(994);0.974368144231184
LIG1(3978);0.565140793499298
MAP2K4(6416);0.469980616012893
IL4R(3566);0.093746089657825
IL2RB(3560);0.278488419872384
IL15RA(3601);0.954154471829209
IL1RN(3557);0.782982502414081
MYD88(4615);0.0589637325859497
PSTPIP1(9051);0.0107109499768591
PSCDBP(9595);0.499344879624101
STAT5B(6777);0.121119561845792
TFCP2(7024);0.873229884426112
TK2(7084);0.838334179661752
IFIT5(24138);0.0132861962816317
RGS7(6000);0.0834861684237258
HINT1(3094);0.00375702155147335
MYLK(4638);0.0395266248300208
MAP3K5(4217);0.176297135482877
VRK2(7444);0.719524802594166
IFI16(3428);0.0836864367324235
HIVEP1(3096);0.00469268147744983
MAP4K1(11184);0.687320346999374
CAMK1(8536);0.608086909906506
SMN1(6606);0.0708380033361473
IFNGR2(3460);0.717482127859971
TP53BP1(7158);0.121361637049768
PPAP2B(8613);0.300178745631984
ZNFN1A1(10320);0.672126811215001
ARHGDIB(397);0.829152709891454
FOSB(2354);0.00127406174396845
TFDP2(7029);0.519736184972824
MADD(8567);0.382603729381439
CUL2(8453);0.177750142132551
MAPK14(1432);0.970505172919377
BCL2A1(597);0.273486966228794
CDKN3(1033);0.649954161035886
POSTN(10631);4.57282733151103e-05
CLK2(1196);0.902528527254625
BIN1(274);0.910791112463131
EPHB4(2050);0.98298499513459
HCK(3055);0.000358769635317274
ST5(6764);0.206566149414336
NEK3(4752);0.022073592695651
DYRK4(8798);1.49383023027823e-05
FADD(8772);0.565029280667642
AKAP1(8165);0.000483126824523305
CASP8(841);0.892950767448899
CXCL9(4283);0.624700701167084
EPHB3(2049);0.21624219895623
GSTM2(2946);0.577472051506253
RFXAP(5994);0.178766778230832
FVT1(2531);0.0764818052229858
DGKA(1606);0.0726888642130164
DGKD(8527);0.157579236609714
PRIM1(5557);0.3726677027108
MAP2K3(5606);0.72545729372717
TOP1(7150);0.699369839990662
MSH2(4436);0.493155098242821
ERCC3(2071);0.579749225661026
CYP2B6(1555);0.391946000901254
CYP51A1(1595);0.36409518986819
CYP1B1(1545);0.445870775254414
CCNH(902);0.0510617106261966
CCND1(595);0.891222837959817
CDH3(1001);0.952374687495246
CD81(975);0.0169406321399772
TESK1(7016);0.123526651678565
CD69(969);0.877276110872425
CD68(968);0.627842166293188
CD58(965);0.0504145744724048
CD53(963);0.068584212277128
CD44(960);0.202736661098711
EPHA1(2041);0.639806423157448
RAB4A(5867);0.108654472999909
CD79A(973);0.747758291120173
HDAC3(8841);0.00901788655380314
TNFSF10(8743);0.99889105590358
FCER1G(2207);0.470677867170906
TP53I3(9540);0.898971742837877
HTATIP2(10553);0.592094525464086
FLI1(2313);0.241597969807223
LARP2(55132);0.175500037104939
DYRK3(8444);0.0238860919403347
CAMK2D(817);0.758938761154068
CD86(942);0.0596122237043847
IRF8(3394);0.0623500682985669
AKAP13(11214);0.075004534344285
MPO(4353);0.416859006382452
ANKRD1(27063);0.358513989492822
WNT2(7472);0.233456909424146
LYN(4067);0.000120510970114295
MCF2(4168);0.120601542109606
PLCB4(5332);0.377437454796427
LCK(3932);5.47703827973858e-06
PRKCZ(5590);0.415933027447517
GATA2(2624);0.551759460841046
NCK1(4690);0.767466987473468
RLF(6018);0.908402277714331
FCGRT(2217);0.207235503025385
TNFRSF1B(7133);0.954151913070735
CCL16(6360);0.591363612555752
FTL(2512);0.575819565161672
TM4SF1(4071);0.0119317385091721
ANPEP(290);0.653099142501243
TCF7(6932);0.0487781885182765
CYP2C18(1562);0.322225322000513
SRPK2(6733);0.368553939240023
RYK(6259);0.11477144959204
CCNA1(8900);0.0512135834254436
PSCD1(9267);0.242323566501121
RELB(5971);0.0311879665698357
FANCG(2189);0.137984217846851
PPP4C(5531);0.535418676796403
ITPKB(3707);0.00477327766432103
ST3GAL1(6482);0.282121240320724
RPS29(6235);0.108730340235806
GAB1(2549);0.230064523086382
CENPF(1063);0.313136837886716
GPR65(8477);0.795622734416342
DDB2(1643);0.802203235084164
FADS1(3992);0.680494041845106
LRP5(4041);0.925662625469779
C10orf7(8872);0.213683926316555
GPR4(2828);0.846760590597671
CDC25C(995);0.234269295373912
IFRD1(3475);0.0394786326187284
RUNX3(864);0.174159533842269
CD38(952);0.184536259063453
GMPS(8833);8.78481761542814e-06
ZNF200(7752);0.001924183869409
ERCC2(2068);0.119224258545138
APC(324);0.609667532433715
GSTT1(2952);0.796193048645914
FASTK(10922);0.0326334922187241
TANK(10010);0.130525967719952
PHKB(5257);0.249128339441023
DPF2(5977);0.845827933161296
IL13RA1(3597);0.14763892445476
DUSP7(1849);0.00891284504707525
MAP1B(4131);0.35015546315401
PTPRO(5800);0.895732812011874
SIN3A(25942);0.0692393858115994
TNFSF4(7292);0.608210905590687
FAF1(11124);0.665152742533351
PTK2(5747);1.49108405699891e-05
PTPRK(5796);0.0862633787518892
FANCA(2175);0.70742756875185
ICAM2(3384);0.835938953994655
ATRX(546);0.389973378185363
EXT2(2132);0.370412709774153
SP100(6672);0.0251067880615104
PRDM1(639);0.585954730745687
RANBP2(5903);0.0979632535250814
DEK(7913);0.727923721731227
TAX1BP1(8887);0.53623705152905
PRKDC(5591);0.431150867626843
RAF1(5894);0.872761400161476
SEPT7(989);0.357801123557659
NEDD4(4734);0.53680490704706
CREBBP(1387);0.309473967248275
RRM1(6240);0.364204006158872
ID3(3399);0.0195739773116842
DAB2(1601);0.958517680023932
FCGR2B(2213);0.000558779430213582
SMAD2(4087);8.04642900618367e-05
SIAH1(6477);0.614286635909865
CX3CL1(6376);0.0110709108828997
CSF2RB(1439);0.10983779978966
TNFAIP3(7128);0.442385897490928
LSP1(4046);0.00293779420271636
TARP(445347);0.596940273647233
ICAM1(3383);0.777588884692203
KLRD1(3824);0.843598607317212
CDH5(1003);0.528776595524985
SMAD4(4089);4.26518254042115e-05
MAP3K11(4296);0.890427885316642
RSN(6249);0.0279029239275207
SMAD7(4092);0.708238804625309
CCBP2(1238);0.895552739846541
TRAM1(23471);0.349829504983931
TNFAIP1(7126);0.239442960879768
IL10RA(3587);0.0198723121963437
PKN1(5585);0.310150368228553
CD82(3732);0.565008949093731
SOCS3(9021);0.235237388547715
SP110(3431);0.0364408911091157
PML(5371);0.012166340843318
AK1(203);0.44144728477224
SLC9A3R2(9351);0.433022126146036
TNFAIP6(7130);0.341027465727724
TRIP10(9322);0.955992089421413
EIF2B1(1967);0.414235661656503
INSR(3643);0.513647811203442
PTPRM(5797);0.0126070854780121
CD24(934);0.000636828293023074
BCAT2(587);2.48365078754859e-06
HPRT1(3251);0.00393679818852439
DNMT1(1786);0.0913300438423718
CYP2J2(1573);0.941598318772349
ROR1(4919);0.734117453252252
BCL2L1(598);0.29473276720259
EDN1(1906);0.507310064564212
C1orf2(10712);0.0093903697384759
CLEC2B(9976);0.820736829840684
AXL(558);0.734217868885892
FGF11(2256);0.500407047311034
NPY1R(4886);0.492891878369764
PPP2R2B(5521);0.00024957595665552
SUMO1(7341);0.279625192433885
ITGB2(3689);0.00689404649532469
MCL1(4170);0.377727715569678
PPEF1(5475);0.385149180617226
NRG1(3084);0.0422126932502477
ABR(29);0.117343921743957
CCNI(10983);0.383850381422103
VEGFB(7423);0.392002543147664
NME1(4830);0.024581126237657
MAL(4118);0.926717328976975
NDUFB7(4713);0.0577594712542461
PTPRS(5802);0.839189061324141
ERG(2078);0.0593449622230183
SELP(6403);0.112946253857534
ADAM17(6868);0.0191430091614484
EBI2(1880);0.42695889689285
STAT4(6775);0.00457729537682709
KGFLP1(387628);0.126083111932336
KRT14(3861);0.018806885159414
STK38(11329);0.355089975872415
CDK10(8558);0.953864069151897
BRCA2(675);0.940822678367924
ST6GAL1(6480);0.00125423384248922
TGFB1(7040);0.906376426046919
USP9X(8239);0.0208669532980482
CYP27A1(1593);6.48269014608346e-05
TFDP1(7027);0.597677234106032
CYP3A4(1576);0.438119451939726
GNG10(2790);0.283516229002812
RAD50(10111);0.189173492493626
P2RY5(10161);0.208576899101359
NCOA3(8202);0.121360419743322
STK4(6789);0.0634195974904186
CXCL5(6374);0.0713145107518981
NOL1(4839);1.78040467131469e-05
CYP2D6(1565);0.237512981075153
ITGB3(3690);0.470799476473002
TCL1A(8115);0.892919929738573
PARP1(142);0.150375051993608
ELF1(1997);0.783660706798807
ITGB5(3693);1.80415626478687e-05
IL10RB(3588);0.0540880810930762
NME4(4833);1.96380040818302e-05
FMO1(2326);0.59195808140866
YES1(7525);0.307365082945936
PRKCQ(5588);0.303171093266749
HLA-DPA1(3113);0.00940376795888408
